platform,writable_id,layer,controller,direction_tested,duration_domain,slope_domain,hazard_reached,target_hazard,first_hazard_time,pre_hazard_alarm_count,pre_hazard_alarm_ids,alarm_signature_stable,alarm_signature_count,first_alarm_time,best_replay_parameter,in_W_rank_top_k,in_W_hd,selected_for_region_search
tennessee_eastman,xmv_02,actuator,DecentralizedController(L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_02_ctrl_output,controller_output,DecentralizedController(L2),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_03,actuator,DecentralizedController(L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_03_ctrl_output,controller_output,DecentralizedController(L3),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_04,actuator,DecentralizedController(L4),pos/neg,100..1000,0.25..1.0,yes,H-TEP-REACTOR-PRESSURE,429,1,A-TEP-ACFEED-TRACK,yes,1,19,"{""amp"": 1.0, ""direction"": ""pos"", ""duration"": 600}",yes,yes,yes
tennessee_eastman,xmv_04_ctrl_output,controller_output,DecentralizedController(L4),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_05,actuator,DecentralizedController(L5),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,yes,no,no
tennessee_eastman,xmv_05_ctrl_output,controller_output,DecentralizedController(L5),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_06,actuator,DecentralizedController(L6/L22),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_06_ctrl_output,controller_output,DecentralizedController(L6/L22),pos/neg,100..1000,0.25..1.0,no,,,,,,,,,no,no,no
tennessee_eastman,xmv_07,actuator,DecentralizedController(L7),pos/neg,100..1000,0.25..1.0,yes,H-TEP-SEPARATOR-LEVEL-LOW,353,1,A-TEP-SEP-LEVEL-TRACK,yes,1,105,"{""amp"": 1.0, ""direction"": ""pos"", ""duration"": 300}",yes,yes,yes
